nom;dpt_numero;code_postal;commune_code;Population_2010;Population_1999;Densite_2010;surface;longitude_degre;latitude_degre;longitude_DMS;latitude_DMS;altitude_mini;altitude_maxi
BERVILLE;76;76560;76087;547;480;81;6,72;0,833333;49,7167;4957;494234;123;164
BERVILLE;95;95810;95059;332;366;39;8,51;2,06667;49,1833;20417;491127;67;155
BERVILLE-EN-ROUMOIS;27;27520;27062;760;661;82;9,25;0,833333;49,3;4921;491745;98;149
BERVILLE-LA-CAMPAGNE;27;27170;27063;160;114;18;8,68;0,9;49,0333;5403;490135;141;159
BERVILLE-SUR-MER;27;27210;27064;601;427;118;5,08;0,366667;49,4333;2140;492553;0;97
BERVILLE-SUR-SEINE;76;76480;76088;554;552;79;7,01;0,9;49,4667;5405;492820;1;24
BERVILLER-EN-MOSELLE;57;57550;57069;501;447;90;5,52;6,65;49,2667;63852;491617;207;362
BERZE-LA-VILLE;71;71960;71032;536;530;96;5,53;4,7;46,3667;44216;462150;238;505
BERZE-LE-CHATEL;71;71960;71031;60;69;10;5,53;4,7;46,3833;44121;462304;304;590
BERZEME;7;7580;7032;154;135;8;18,36;4,58333;44,6333;43354;443906;516;839
BERZIEUX;51;51800;51053;72;83;6;11,67;4,8;49,1667;44750;490953;128;201
BERZY-LE-SEC;2;2200;2077;396;395;33;11,69;3,31667;49,3333;31846;492002;52;154
BESAIN;39;39800;39050;157;180;12;12,84;5,8;46,7833;54738;464708;514;640
BESANCON;25;25000;25056;116914;117691;1797;65,05;6,03333;47,25;60117;471432;235;610
BESAYES;26;26300;26049;1103;911;115;9,53;5,08333;44,9667;50445;445754;208;408
BESCAT;64;64260;64116;271;252;39;6,81;-0,416667;43,1333;-2538;430730;335;569
BESIGNAN;26;26110;26050;65;69;7;8,94;5,33333;44,3167;51931;441913;437;963
BESINGRAND;64;64150;64117;122;130;53;2,29;-0,566667;43,3667;-3405;432219;105;118
BESLON;50;50800;50048;536;498;31;17,24;-1,15;48,85;-10905;485056;118;237
BESME;2;2300;2078;164;133;61;2,66;3,16667;49,5333;30949;493218;54;76
BESMONT;2;2500;2079;153;146;9;15,86;4,11667;49,8333;40719;495016;165;245
BESNANS;70;70230;70065;81;56;27;2,94;6,26667;47,45;61533;472704;237;308
BESNE;44;44160;44013;2646;2029;150;17,54;-2,08333;47,4;-20529;472351;0;16
BESNEVILLE;50;50390;50049;668;516;36;18,27;-1,63333;49,3667;-13739;492204;10;116
BESNY-ET-LOIZY;2;2870;2080;372;350;38;9,76;3,58333;49,6;33454;493600;72;118
BESSAC;16;16250;16041;114;131;10;10,55;-0,033333;45,4333;-109;452548;62;162
BESSAIS-LE-FROMENTAL;18;18210;18029;313;325;12;25,75;2,75;46,75;24542;464446;182;241
BESSAMOREL;43;43200;43028;409;329;55;7,37;4,08723;45,1206;40514;450714;760;1137
BESSAN;34;34550;34031;4585;4027;165;27,65;3,41667;43,3667;32527;432141;0;84
BESSANCOURT;95;95550;95060;6994;6998;1094;6,39;2,21667;49,0333;21248;490216;49;171
BESSANS;73;73480;73040;343;310;2;128,08;6,99167;45,3167;65937;451912;1673;3754
BESSAS;7;7150;7033;202;169;11;17,18;4,31667;44,35;41809;442041;153;504
BESSAY;85;85320;85023;412;338;38;10,79;-1,15;46,5333;-10916;463216;2;48
BESSAY-SUR-ALLIER;3;3340;3025;1388;1378;40;34,6;3,36667;46,4333;32145;462631;209;271
BESSE;15;15140;15269;128;143;33;3,77;2,35;45,1;22058;450546;559;769
BESSE;16;16140;16042;148;152;19;7,67;0,066667;45,95;424;455719;84;131
BESSE;24;24550;24039;154;163;9;16,2;1,11667;44,6667;10622;444008;170;345
BESSE;38;38142;38040;142;130;5;25,46;6,16667;45,0667;61012;450418;1228;3122
BESSE-ET-SAINT-ANASTAISE;63;63610;63038;1561;1671;21;72,38;2,93278;45,5131;25558;453047;805;1725
BESSE-SUR-BRAYE;72;72310;72035;2322;2600;112;20,6;0,75;47,8333;4458;475002;64;154
BESSE-SUR-ISSOLE;83;83890;83018;2918;1779;78;37,19;6,16667;43,35;61035;432055;230;637
BESSEDE-DE-SAULT;11;11140;11038;56;52;3;15,04;2,11667;42,7833;20731;424719;512;1412
BESSEGES;30;30160;30037;3106;3150;300;10,32;4,1;44,2833;40602;441730;146;492
BESSENAY;69;69690;69021;2251;1830;160;14,01;4,55;45,7833;43316;454636;254;664
BESSENS;82;82170;82017;1350;664;145;9,27;1,26667;43,8833;11508;435247;90;146
BESSET;9;9500;9052;145;119;17;8,13;1,83333;43,0833;15012;430441;279;480
BESSEY;42;42520;42018;398;296;63;6,24;4,7;45,3833;44143;452309;278;430
BESSEY-EN-CHAUME;21;21360;21065;110;98;10;10,46;4,73333;47,0833;44434;470450;365;601
BESSEY-LA-COUR;21;21360;21066;72;79;15;4,59;4,61667;47,1;43649;470553;380;429
BESSEY-LES-CITEAUX;21;21110;21067;666;476;64;10,3;5,16667;47,15;50932;470919;186;206
BESSIERES;31;31660;31066;3253;2224;195;16,68;1,61667;43,8;13621;434802;85;194
BESSINES;79;79000;79034;1589;1357;139;11,41;-0,5;46,3;-3058;461807;2;30
BESSINES-SUR-GARTEMPE;87;87250;87014;2818;2743;50;55,41;1,36667;46,1;12206;460632;250;533
BESSINS;38;38160;38041;129;107;27;4,65;5,26667;45,2;51553;451209;405;650
BESSON;3;3210;3026;792;775;16;47,16;3,26667;46,4667;31550;462812;224;350
BESSONCOURT;90;90160;90012;926;940;118;7,8;6,93333;47,65;65556;473844;340;381
BESSONIES;46;46210;46338;101;120;13;7,41;2,15;44,8;20903;444837;510;682
BESSUEJOULS;12;12500;12027;247;223;21;11,29;2,7;44,5333;24343;443135;319;660
BESSY;10;10170;10043;130;122;18;7,03;4,02306;48,5473;40123;483250;80;109
BESSY-SUR-CURE;89;89270;89040;176;121;16;10,53;3,73333;47,6167;34427;473715;117;233
BESTIAC;9;9250;9053;19;12;2;6,57;1,78333;42,7667;14714;424604;709;1866
BETAILLE;46;46110;46028;1072;827;76;13,99;1,73333;44,95;14402;445638;111;228
BETAUCOURT;70;70500;70066;159;173;22;7,17;5,91667;47,8667;55509;475150;212;283
BETBEZE;65;65230;65088;43;41;12;3,45;0,566667;43,2833;3419;431704;270;428
BETBEZER-D'ARMAGNAC;40;40240;40039;141;106;17;8,1;-0,171944;43,977;-1019;435837;78;144
BETCAVE-AGUIN;32;32420;32048;96;80;9;10,19;0,683333;43,4333;4129;432630;213;314
BETCHAT;9;9160;9054;364;294;16;22;1,01667;43,1;10044;430531;296;491
BETETE;23;23270;23022;346;424;12;28,24;2,08333;46,3667;20440;462134;272;430
BETHANCOURT-EN-VALOIS;60;60129;60066;243;249;58;4,12;2,88333;49,2833;25238;491705;48;129
BETHANCOURT-EN-VAUX;2;2300;2081;420;368;97;4,3;3,15;49,6167;30851;493743;58;172
BETHELAINVILLE;55;55100;55047;191;177;15;11,94;5,23333;49,1667;51405;491000;232;343
BETHEMONT-LA-FORET;95;95840;95061;420;449;110;3,79;2,25;49,05;21510;490317;79;194
BETHENCOURT;59;59540;59075;749;676;145;5,15;3,43333;50,1333;32559;500811;87;121
BETHENCOURT-SUR-MER;80;80530;80096;1042;997;353;2,95;1,5;50,0833;13012;500441;75;119
BETHENCOURT-SUR-SOMME;80;80190;80097;133;110;46;2,87;2,96667;49,8;25749;494741;53;83
BETHENIVILLE;51;51490;51054;1161;851;65;17,74;4,36667;49,3;42202;491735;93;143
BETHENY;51;51450;51055;6445;5937;323;19,9;4,05;49,2833;40325;491705;82;141
BETHINCOURT;55;55270;55048;29;36;2;13,32;5,23333;49,25;51352;491509;193;282
BETHINES;86;86310;86025;481;511;12;37,02;0,983333;46,55;5833;463249;83;146
BETHISY-SAINT-MARTIN;60;60320;60067;1083;1143;110;9,82;2,81667;49,3;24855;491741;41;122
BETHISY-SAINT-PIERRE;60;60320;60068;3287;3133;503;6,53;2,81667;49,3;24811;491804;35;132
BETHMALE;9;9800;9055;98;84;3;31,61;1,08333;42,8667;10326;425320;638;2838
BETHON;51;51260;51056;280;275;18;15,23;3,61667;48,6167;33653;483645;87;206
BETHON;72;72610;72036;339;275;88;3,85;0,083333;48,3667;518;482138;133;196
BETHONCOURT;25;25200;25057;5971;6847;912;6,54;6,8;47,5333;64814;473204;315;410
BETHONSART;62;62690;62118;170;131;40;4,21;2,55;50,3833;23302;502234;119;157
BETHONVILLIERS;28;28330;28038;144;133;11;12,33;0,916667;48,2167;5435;481316;156;261
BETHONVILLIERS;90;90150;90013;246;217;129;1,9;6,96667;47,6833;65744;474050;365;407
BETHUNE;62;62400;62119;25655;27781;2711;9,46;2,63333;50,5333;23824;503147;19;38
BETIGNICOURT;10;10500;10044;30;37;9;3,18;4,45;48,45;42720;482648;107;168
BETON-BAZOCHES;77;77320;77032;781;700;42;18,32;3,25;48,7;31439;484205;128;183
BETONCOURT-LES-BROTTE;70;70300;70067;99;60;32;3,07;6,33333;47,75;62031;474430;272;437
BETONCOURT-SAINT-PANCRAS;70;70210;70069;51;67;8;6,35;6,16667;47,9167;61017;475506;238;337
BETONCOURT-SUR-MANCE;70;70500;70070;42;52;11;3,72;5,75;47,8333;54519;474951;223;367
BETOUS;32;32110;32049;97;74;18;5,13;0,016667;43,7;133;434300;99;187
BETPLAN;32;32730;32050;113;136;20;5,46;0,2;43,4167;1157;432448;168;315
BETPOUEY;65;65120;65089;111;128;6;16,2;0,033333;42,8833;159;425253;899;2854
BETPOUY;65;65230;65090;76;72;18;4,15;0,45;43,2833;2732;431630;287;456
BETRACQ;64;64350;64118;49;65;10;4,7;-0,05;43,5167;-321;433046;151;273
BETSCHDORF;67;67660;67339;4063;3725;144;28,11;7,90584;48,8987;75421;485355;114;210
BETTAINVILLERS;54;54640;54066;240;155;52;4,53;5,9;49,3;55419;491801;228;293
BETTANCOURT-LA-FERREE;52;52100;52045;1794;2042;333;5,38;4,96667;48,65;45826;483909;143;197
BETTANCOURT-LA-LONGUE;51;51330;51057;87;72;14;6,09;4,88333;48,8333;45318;484943;126;189
BETTANGE;57;57220;57070;214;179;57;3,73;6,48333;49,2333;62854;491412;197;260
